"File","Minor","Major","Total","Ownership","Bugs"
"solr/src/test/org/apache/solr/analysis/TestPhoneticFilter.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestPatternReplaceFilter.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/EnglishPorterFilterFactoryTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestSynonymMap.java","0","2","2","0.75","0"
"solr/src/test/org/apache/solr/analysis/TestBrazilianStemFilterFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestStandardFactories.java","0","3","3","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestBulgarianStemFilterFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/DoubleMetaphoneFilterTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestGalicianStemFilterFactory.java","0","2","2","0.75","0"
"solr/src/test/org/apache/solr/analysis/TestArabicFilters.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/BaseTokenTestCase.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/HTMLStripCharFilterTest.java","0","3","3","0.6","0"
"solr/src/test/org/apache/solr/analysis/TestFrenchStemFilterFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestShingleFilterFactory.java","0","3","3","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestChineseTokenizerFactory.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/analysis/CommonGramsFilterFactoryTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/analysis/TestFrenchLightStemFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestCJKTokenizerFactory.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/analysis/TestSynonymFilter.java","0","3","3","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestSwedishLightStemFilterFactory.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/analysis/TestLuceneMatchVersion.java","0","4","4","0.25","0"
"solr/src/test/org/apache/solr/schema/PolyFieldTest.java","0","4","4","0.3333333333333333","0"
"solr/src/test/org/apache/solr/schema/UUIDFieldTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/schema/MockConfigurableSimilarity.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/schema/DateFieldTest.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/schema/NotRequiredUniqueKeyTest.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/schema/CustomSimilarityFactory.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/schema/BadIndexSchemaTest.java","0","4","4","0.3333333333333333","0"
"solr/src/test/org/apache/solr/schema/IndexSchemaTest.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/schema/RequiredFieldsTest.java","0","3","3","0.5","0"
"solr/src/test/org/apache/solr/schema/LegacyDateFieldTest.java","0","2","2","0.8","0"
"solr/src/test/org/apache/solr/schema/CopyFieldTest.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/schema/TestBinaryField.java","0","2","2","0.8","0"
"solr/src/test/org/apache/solr/util/BitSetPerf.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/util/TestUtils.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/util/TestNumberUtils.java","0","3","3","0.5","0"
"solr/src/test/org/apache/solr/util/ArraysUtilsTest.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/util/AbstractSolrTestCase.java","0","3","3","0.6","0"
"solr/src/test/org/apache/solr/util/PrimUtilsTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/util/DateMathParserTest.java","0","2","2","0.75","0"
"solr/src/test/org/apache/solr/util/SolrPluginUtilsTest.java","0","3","3","0.6","0"
"solr/src/test/org/apache/solr/update/TestIndexingPerformance.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/update/DocumentBuilderTest.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/update/AutoCommitTest.java","0","3","3","0.3333333333333333","0"
"solr/src/test/org/apache/solr/update/DirectUpdateHandlerTest.java","0","2","2","0.75","0"
"solr/src/test/org/apache/solr/update/DirectUpdateHandlerOptimizeTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/spelling/SimpleQueryConverter.java","0","3","3","0.5","0"
"solr/src/test/org/apache/solr/spelling/SpellingQueryConverterTest.java","0","2","2","0.75","0"
"solr/src/test/org/apache/solr/spelling/SpellPossibilityIteratorTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/spelling/SampleComparator.java","0","3","3","0.5","0"
"solr/src/test/org/apache/solr/spelling/IndexBasedSpellCheckerTest.java","0","4","4","0.5","0"
"solr/src/test/org/apache/solr/spelling/FileBasedSpellCheckerTest.java","0","3","3","0.7142857142857143","0"
"solr/src/test/org/apache/solr/spelling/SpellCheckCollatorTest.java","0","3","3","0.3333333333333333","0"
"solr/src/test/org/apache/solr/search/TestFastLRUCache.java","0","4","4","0.4","0"
"solr/src/test/org/apache/solr/search/SpatialFilterTest.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/search/TestExtendedDismaxParser.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/search/TestSort.java","0","4","4","0.5","0"
"solr/src/test/org/apache/solr/search/QueryParsingTest.java","0","5","5","0.2857142857142857","0"
"solr/src/test/org/apache/solr/search/DocSetPerf.java","0","1","1","1.0","0"
"solr/src/test/org/apache/solr/search/TestQueryUtils.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/search/FooQParserPlugin.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/search/TestSolrQueryParser.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/search/TestRangeQuery.java","0","2","2","0.8333333333333334","0"
"solr/src/test/org/apache/solr/search/TestSearchPerf.java","0","3","3","0.5","0"
"solr/src/test/org/apache/solr/search/TestDocSet.java","0","3","3","0.3333333333333333","0"
"solr/src/test/org/apache/solr/search/TestIndexSearcher.java","0","2","2","0.6666666666666666","0"
"solr/src/test/org/apache/solr/search/TestQueryTypes.java","0","4","4","0.25","0"
"solr/src/test/org/apache/solr/common/SolrDocumentTest.java","0","2","2","0.5","0"
"solr/src/test/org/apache/solr/request/SimpleFacetsTest.java","0","4","4","0.375","0"
