"issue_key","created","resolutiondate","days_to_solve"
"MNG-1577","2005-11-15","2007-03-10","480"
"MNG-4312","2009-08-20","2009-08-20","0"
"MNG-4055","2009-02-27","2009-09-21","206"
"MNG-4738","2010-07-21","2010-07-25","4"
"MNG-3937","2008-12-22","2009-01-21","30"
"MNG-3694","2008-08-01","2008-08-01","0"
"MNG-3213","2007-09-18","2008-01-06","110"
"MNG-243","2005-04-04","2005-04-04","0"
"MNG-4644","2010-04-26","2010-04-26","0"
"MNG-4553","2010-01-31","2010-02-27","27"
"MNG-3753","2008-09-12","2009-07-12","303"
"MNG-5812","2015-04-28","2015-06-22","55"
"MNG-2860","2007-03-07","2007-06-02","87"
"MNG-2110","2006-02-24","2009-12-28","1403"
"MNG-3822","2008-11-07","2008-12-01","24"
"MNG-5444","2013-03-03","2013-03-03","0"
"MNG-4966","2011-01-08","2011-01-08","0"
"MNG-3464","2008-03-14","2008-03-16","2"
"MNG-2996","2007-05-20","2007-05-20","0"
"MNG-2285","2006-05-09","2010-03-26","1417"
"MNG-4919","2010-11-26","2011-01-05","40"
"MNG-2769","2007-01-15","2008-01-09","359"
"MNG-3920","2008-12-17","2009-01-28","42"
"MNG-3594","2008-05-24","2008-06-12","19"
"MNG-4574","2010-02-15","2010-02-28","13"
"MNG-410","2005-05-17","2005-08-25","100"
"MNG-3428","2008-03-03","2008-03-03","0"
"MNG-2985","2007-05-12","2007-05-14","2"
"MNG-4469","2009-11-25","2009-12-08","13"
"MNG-4053","2009-02-25","2009-03-23","26"
"MNG-2652","2006-11-06","2006-11-06","0"
"MNG-4327","2009-08-27","2009-08-27","0"
"MNG-4325","2009-08-26","2009-08-27","1"
"MNG-4883","2010-11-01","2010-11-18","17"
"MNG-1914","2006-01-03","2008-03-05","792"
"MNG-2795","2007-01-26","2007-02-10","15"
"MNG-4214","2009-06-20","2009-06-20","0"
"MNG-4554","2010-01-31","2010-02-01","1"
"MNG-4137","2009-04-17","2009-04-28","11"
"MNG-3924","2008-12-19","2008-12-19","0"
"MNG-4592","2010-03-16","2010-09-09","177"
"MNG-2686","2006-12-04","2010-08-24","1359"
"MNG-4201","2009-06-14","2009-07-22","38"
"MNG-4180","2009-05-30","2009-06-12","13"
"MNG-4518","2010-01-05","2010-01-05","0"
"MNG-4335","2009-09-01","2009-09-04","3"
"MNG-1246","2005-10-20","2005-10-24","4"
"MNG-4023","2009-02-06","2009-02-06","0"
"MNG-2963","2007-04-25","2007-11-04","193"
"MNG-1898","2005-12-26","2006-12-30","369"
"MNG-5131","2011-07-12","2011-07-27","15"
"MNG-2848","2007-02-24","2008-03-11","381"
"MNG-3668","2008-07-16","2009-12-30","532"
"MNG-3797","2008-10-17","2008-11-14","28"
"MNG-2958","2007-04-23","2007-05-31","38"
"MNG-5783","2015-03-09","2015-03-10","1"
"MNG-5677","2014-08-08","2014-08-08","0"
"MNG-3821","2008-11-07","2009-01-21","75"
"MNG-3972","2009-01-06","2009-01-11","5"
"MNG-4973","2011-01-13","2011-01-14","1"
"MNG-4565","2010-02-19","2014-06-11","1573"
"MNG-3494","2008-04-01","2008-04-01","0"
"MNG-4318","2009-08-24","2009-08-25","1"
"MNG-4426","2009-11-02","2009-11-04","2"
"MNG-3576","2008-05-15","2008-10-02","140"
"MNG-3803","2008-10-27","2009-02-04","100"
"MNG-2186","2006-03-29","2006-03-30","1"
"MNG-2276","2006-05-05","2010-03-31","1426"
"MNG-4570","2010-02-24","2010-02-28","4"
"MNG-4430","2009-11-06","2009-11-06","0"
"MNG-3653","2008-07-05","2008-10-02","89"
"MNG-1527","2005-11-12","2006-05-10","179"
"MNG-269","2005-04-07","2005-04-08","1"
"MNG-4203","2009-06-16","2009-06-16","0"
"MNG-3934","2008-12-21","2009-01-03","13"
"MNG-5165","2011-08-26","2011-09-22","27"
"MNG-2115","2006-02-27","2006-06-07","100"
"MNG-4925","2010-12-03","2010-12-04","1"
"MNG-4386","2009-10-02","2009-10-02","0"
"MNG-2068","2006-02-12","2008-07-03","872"
"MNG-840","2005-09-06","2005-10-01","25"
"MNG-754","2005-08-19","2005-08-24","5"
"MNG-680","2005-07-30","2005-09-12","44"
"MNG-2987","2007-05-17","2007-06-01","15"
"MNG-757","2005-08-19","2005-09-13","25"
"MNG-3900","2008-12-13","2009-03-23","100"
"MNG-3484","2008-03-26","2008-03-26","0"
"MNG-1751","2005-12-04","2010-04-09","1587"
"MNG-2078","2006-02-15","2006-02-20","5"
"MNG-2339","2006-06-02","2008-02-29","637"
"MNG-4489","2009-12-10","2009-12-10","0"
"MNG-792","2005-08-26","2005-10-19","54"
"MNG-2204","2006-04-05","2006-04-05","0"
"MNG-3991","2009-01-14","2009-08-27","225"
"MNG-3215","2007-04-26","2007-09-18","145"
"MNG-2351","2006-06-07","2007-01-20","227"
"MNG-4867","2010-10-16","2010-10-16","0"
"MNG-343","2005-04-22","2005-04-22","0"
"MNG-585","2005-07-13","2005-07-13","0"
"MNG-4526","2010-01-10","2010-01-28","18"
"MNG-5748","2014-12-26","2014-12-26","0"
"MNG-3947","2008-12-30","2009-03-10","70"
"MNG-1906","2005-12-07","2008-10-02","1030"
"MNG-236","2005-03-30","2005-04-04","5"
"MNG-5336","2012-08-25","2012-11-20","87"
"MNG-5163","2011-08-24","2011-09-04","11"
"MNG-3217","2007-09-20","2009-02-12","511"
"MNG-3415","2008-02-21","2008-03-10","18"
"MNG-1363","2005-10-29","2005-11-14","16"
"MNG-4933","2010-12-13","2011-01-03","21"
"MNG-4850","2010-10-04","2010-11-18","45"
"MNG-4696","2010-05-31","2010-05-31","0"
"MNG-533","2005-06-27","2005-06-27","0"
"MNG-4009","2009-01-27","2009-02-05","9"
"MNG-951","2005-09-22","2005-09-28","6"
"MNG-314","2005-04-15","2005-04-20","5"
"MNG-2014","2006-01-26","2010-01-06","1441"
"MNG-781","2005-08-23","2005-09-27","35"
"MNG-4228","2009-07-03","2009-07-21","18"
"MNG-3732","2008-08-28","2009-06-05","281"
"MNG-412","2005-05-18","2005-05-23","5"
"MNG-2225","2006-04-13","2008-02-05","663"
"MNG-2891","2007-03-22","2007-03-22","0"
"MNG-598","2005-07-16","2005-07-27","11"
"MNG-4189","2009-06-08","2009-06-26","18"
"MNG-2703","2006-12-16","2006-12-17","1"
"MNG-2282","2006-05-08","2006-05-15","7"
"MNG-2934","2007-04-05","2007-06-04","60"
"MNG-1412","2005-11-03","2008-02-03","822"
"MNG-2591","2006-10-05","2007-06-07","245"
"MNG-5745","2014-12-26","2014-12-26","0"
"MNG-916","2005-09-18","2007-07-19","669"
"MNG-4495","2009-12-15","2009-12-15","0"
"MNG-2787","2007-01-22","2007-02-01","10"
"MNG-3979","2009-01-09","2009-01-21","12"
"MNG-2347","2006-06-07","2007-05-31","358"
"MNG-3452","2008-03-08","2008-03-10","2"
"MNG-1032","2005-09-27","2005-09-30","3"
"MNG-3748","2008-09-09","2008-09-09","0"
"MNG-5797","2015-04-02","2015-04-26","24"
"MNG-4678","2010-05-18","2010-05-23","5"
