"issue_key","created","resolutiondate","days_to_solve"
"CAMEL-8156","2014-12-16","2014-12-17","1"
"CAMEL-8702","2015-04-26","2015-04-30","4"
"CAMEL-7440","2014-05-14","2014-05-15","1"
"CAMEL-1427","2009-03-05","2009-03-18","13"
"CAMEL-6541","2013-07-11","2013-07-11","0"
"CAMEL-967","2008-10-08","2008-10-08","0"
"CAMEL-1742","2009-06-23","2009-06-23","0"
"CAMEL-3526","2011-01-11","2011-01-11","0"
"CAMEL-7251","2014-02-27","2014-02-28","1"
"CAMEL-7282","2014-03-10","2014-03-11","1"
"CAMEL-8134","2014-12-09","2014-12-09","0"
"CAMEL-1633","2009-05-20","2009-06-11","22"
"CAMEL-4235","2011-07-15","2011-07-15","0"
"CAMEL-3753","2011-03-05","2011-03-05","0"
"CAMEL-5564","2012-09-04","2012-09-05","1"
"CAMEL-6607","2013-08-05","2013-08-06","1"
"CAMEL-6390","2013-05-23","2013-05-30","7"
"CAMEL-1955","2009-08-28","2009-08-28","0"
"CAMEL-6297","2013-04-18","2013-04-22","4"
"CAMEL-4509","2011-10-03","2011-10-05","2"
"CAMEL-1461","2009-03-16","2009-03-24","8"
"CAMEL-6326","2013-04-29","2013-05-25","26"
"CAMEL-3806","2011-03-25","2011-03-29","4"
"CAMEL-8355","2015-02-14","2015-02-14","0"
"CAMEL-3271","2010-10-24","2010-12-06","43"
"CAMEL-2070","2009-10-16","2009-10-16","0"
"CAMEL-8338","2015-02-12","2015-02-12","0"
"CAMEL-4482","2011-09-24","2011-09-24","0"
"CAMEL-7399","2014-04-28","2014-05-02","4"
"CAMEL-1632","2009-05-19","2009-05-19","0"
"CAMEL-7622","2014-07-21","2014-07-22","1"
"CAMEL-3398","2010-12-06","2010-12-07","1"
"CAMEL-5087","2012-03-15","2012-03-15","0"
"CAMEL-636","2008-06-25","2008-07-09","14"
"CAMEL-1498","2009-03-28","2009-03-29","1"
"CAMEL-8158","2014-12-16","2014-12-16","0"
"CAMEL-6802","2013-09-30","2013-09-30","0"
"CAMEL-7894","2014-10-08","2014-10-09","1"
"CAMEL-8607","2015-04-09","2015-04-23","14"
"CAMEL-4246","2011-07-19","2011-07-22","3"
"CAMEL-267","2007-12-17","2008-05-13","148"
"CAMEL-7143","2014-01-20","2014-01-31","11"
"CAMEL-696","2008-07-11","2008-07-11","0"
"CAMEL-277","2007-12-26","2008-01-18","23"
"CAMEL-5023","2012-02-21","2012-02-22","1"
"CAMEL-1949","2009-08-27","2009-10-24","58"
"CAMEL-763","2008-07-28","2008-07-28","0"
"CAMEL-3448","2010-12-20","2010-12-20","0"
"CAMEL-2274","2009-12-10","2009-12-10","0"
"CAMEL-7635","2014-07-24","2014-08-18","25"
"CAMEL-3917","2011-04-29","2011-04-29","0"
"CAMEL-5040","2012-02-25","2012-02-25","0"
"CAMEL-1618","2009-05-15","2009-05-16","1"
"CAMEL-5459","2012-07-23","2013-02-03","195"
"CAMEL-456","2008-04-09","2008-04-12","3"
"CAMEL-3718","2011-02-25","2011-02-25","0"
"CAMEL-353","2008-03-04","2008-03-04","0"
"CAMEL-806","2008-08-10","2008-08-11","1"
"CAMEL-6107","2013-02-27","2013-11-12","258"
"CAMEL-5358","2012-06-11","2013-01-21","224"
"CAMEL-5192","2012-04-19","2012-06-03","45"
"CAMEL-2224","2009-11-24","2009-11-25","1"
"CAMEL-1144","2008-12-04","2008-12-04","0"
"CAMEL-6874","2013-10-18","2013-10-19","1"
"CAMEL-1442","2009-03-09","2009-03-12","3"
"CAMEL-7795","2014-09-09","2014-09-09","0"
"CAMEL-4754","2011-12-08","2011-12-12","4"
"CAMEL-6905","2013-10-25","2013-10-26","1"
"CAMEL-8786","2015-05-21","2015-05-21","0"
"CAMEL-3081","2010-08-25","2010-08-26","1"
"CAMEL-2711","2010-05-12","2010-05-12","0"
"CAMEL-5089","2012-03-15","2012-03-15","0"
"CAMEL-6609","2013-08-05","2013-08-19","14"
"CAMEL-5449","2012-07-16","2012-07-16","0"
"CAMEL-5693","2012-10-08","2012-10-08","0"
"CAMEL-1566","2009-04-24","2009-04-29","5"
"CAMEL-1358","2009-02-19","2009-02-19","0"
"CAMEL-6700","2013-09-03","2013-09-03","0"
"CAMEL-6561","2013-07-18","2013-08-07","20"
"CAMEL-2353","2010-01-13","2010-01-13","0"
"CAMEL-8805","2015-05-27","2015-05-27","0"
"CAMEL-3642","2011-02-09","2011-02-09","0"
"CAMEL-5187","2012-04-17","2012-04-18","1"
"CAMEL-2168","2009-11-12","2009-11-12","0"
"CAMEL-8359","2015-02-16","2015-02-16","0"
"CAMEL-4066","2011-06-07","2011-06-07","0"
"CAMEL-1793","2009-07-03","2009-07-03","0"
"CAMEL-7829","2014-09-16","2014-09-16","0"
"CAMEL-4536","2011-10-11","2011-10-23","12"
"CAMEL-6614","2013-08-07","2013-08-07","0"
"CAMEL-7707","2014-08-16","2014-08-16","0"
"CAMEL-2464","2010-02-11","2010-05-15","93"
"CAMEL-247","2007-11-29","2007-11-29","0"
"CAMEL-8796","2015-05-25","2015-06-05","11"
"CAMEL-1642","2009-05-24","2009-05-24","0"
"CAMEL-5647","2012-09-25","2012-09-25","0"
"CAMEL-5420","2012-07-04","2012-09-25","83"
"CAMEL-95","2007-08-10","2007-08-10","0"
"CAMEL-5686","2012-10-05","2012-10-05","0"
"CAMEL-1122","2008-11-26","2008-11-26","0"
"CAMEL-2182","2009-11-17","2009-11-25","8"
"CAMEL-2156","2009-11-11","2009-11-21","10"
"CAMEL-474","2008-04-21","2008-05-09","18"
"CAMEL-6560","2013-07-18","2013-07-18","0"
"CAMEL-6323","2013-04-29","2013-04-30","1"
"CAMEL-3237","2010-10-15","2010-11-11","27"
"CAMEL-112","2007-08-17","2007-08-17","0"
"CAMEL-3640","2011-02-08","2011-02-11","3"
"CAMEL-8062","2014-11-19","2014-11-19","0"
"CAMEL-1001","2008-10-20","2008-10-21","1"
"CAMEL-8436","2015-03-04","2015-03-04","0"
"CAMEL-8641","2015-04-15","2015-04-17","2"
"CAMEL-7062","2013-12-12","2013-12-12","0"
"CAMEL-7826","2014-09-16","2014-09-16","0"
"CAMEL-4177","2011-07-06","2011-07-06","0"
"CAMEL-8743","2015-05-05","2015-05-05","0"
"CAMEL-5616","2012-09-14","2012-09-20","6"
"CAMEL-4810","2011-12-21","2011-12-22","1"
"CAMEL-3037","2010-08-09","2010-08-12","3"
"CAMEL-8216","2015-01-07","2015-01-07","0"
"CAMEL-8546","2015-03-25","2015-03-26","1"
"CAMEL-1592","2009-05-08","2009-05-08","0"
"CAMEL-2112","2009-10-27","2009-10-27","0"
"CAMEL-503","2008-05-12","2008-05-12","0"
"CAMEL-8858","2015-06-11","2015-06-11","0"
"CAMEL-2893","2010-07-01","2010-07-01","0"
"CAMEL-1824","2009-07-11","2009-07-12","1"
"CAMEL-6804","2013-10-01","2013-10-01","0"
"CAMEL-3373","2010-11-28","2010-11-28","0"
"CAMEL-8745","2015-05-06","2015-05-06","0"
"CAMEL-7524","2014-06-20","2014-06-20","0"
"CAMEL-8073","2014-11-21","2014-11-21","0"
"CAMEL-6641","2013-08-15","2013-08-15","0"
"CAMEL-7344","2014-04-04","2014-04-07","3"
"CAMEL-2139","2009-11-06","2009-11-06","0"
"CAMEL-6185","2013-03-20","2013-11-04","229"
"CAMEL-3487","2011-01-04","2011-01-04","0"
"CAMEL-6278","2013-04-14","2013-04-17","3"
"CAMEL-7357","2014-04-09","2014-04-10","1"
"CAMEL-3808","2011-03-25","2011-03-25","0"
"CAMEL-3797","2011-03-22","2011-03-22","0"
"CAMEL-5830","2012-11-28","2012-11-28","0"
"CAMEL-8927","2015-07-02","2015-07-02","0"
"CAMEL-3617","2011-02-03","2011-02-04","1"
"CAMEL-1651","2009-05-27","2009-05-28","1"
"CAMEL-271","2007-12-19","2007-12-21","2"
"CAMEL-4240","2011-07-18","2011-09-23","67"
"CAMEL-7736","2014-08-22","2014-08-22","0"
"CAMEL-7448","2014-05-20","2014-08-27","99"
"CAMEL-942","2008-09-28","2008-09-28","0"
"CAMEL-2150","2009-11-09","2009-11-16","7"
"CAMEL-4696","2011-11-18","2011-11-26","8"
"CAMEL-8768","2015-05-12","2015-07-09","58"
"CAMEL-7229","2014-02-20","2014-03-03","11"
"CAMEL-7967","2014-10-27","2014-10-30","3"
"CAMEL-8690","2015-04-23","2015-04-23","0"
"CAMEL-2133","2009-11-04","2009-11-04","0"
"CAMEL-1170","2008-12-09","2008-12-10","1"
"CAMEL-1296","2009-01-27","2009-01-27","0"
"CAMEL-6652","2013-08-20","2013-08-23","3"
"CAMEL-980","2008-10-13","2008-10-16","3"
"CAMEL-1882","2009-08-06","2009-08-06","0"
"CAMEL-7896","2014-10-08","2014-10-09","1"
"CAMEL-5333","2012-06-05","2012-06-05","0"
"CAMEL-6988","2013-11-20","2014-01-31","72"
"CAMEL-1925","2009-08-21","2009-09-13","23"
"CAMEL-2980","2010-07-21","2010-08-05","15"
"CAMEL-310","2008-01-28","2008-02-07","10"
"CAMEL-2614","2010-04-05","2010-05-06","31"
"CAMEL-3545","2011-01-15","2011-01-15","0"
"CAMEL-3927","2011-05-02","2011-05-02","0"
"CAMEL-3428","2010-12-14","2010-12-15","1"
"CAMEL-3842","2011-04-07","2011-04-17","10"
"CAMEL-1728","2009-06-18","2009-06-18","0"
"CAMEL-6271","2013-04-14","2013-04-17","3"
"CAMEL-5451","2012-07-16","2012-07-16","0"
"CAMEL-7571","2014-07-03","2014-07-03","0"
"CAMEL-7644","2014-07-28","2015-03-03","218"
"CAMEL-517","2008-05-16","2008-05-26","10"
"CAMEL-7120","2014-01-09","2014-01-10","1"
"CAMEL-4748","2011-12-07","2011-12-07","0"
"CAMEL-4949","2012-01-27","2012-01-29","2"
"CAMEL-3093","2010-08-31","2010-08-31","0"
"CAMEL-8437","2015-03-04","2015-03-14","10"
"CAMEL-6625","2013-08-12","2013-08-15","3"
"CAMEL-5595","2012-09-12","2012-09-17","5"
"CAMEL-341","2008-02-21","2008-03-30","38"
"CAMEL-7427","2014-05-09","2014-05-09","0"
"CAMEL-2067","2009-10-14","2009-10-16","2"
"CAMEL-8153","2014-12-15","2014-12-17","2"
"CAMEL-1140","2008-12-03","2008-12-03","0"
"CAMEL-7317","2014-03-21","2014-03-28","7"
"CAMEL-6544","2013-07-13","2013-07-17","4"
"CAMEL-8049","2014-11-14","2014-11-19","5"
"CAMEL-4842","2011-12-30","2012-01-05","6"
"CAMEL-5218","2012-04-25","2012-04-25","0"
"CAMEL-1249","2009-01-12","2009-01-13","1"
"CAMEL-2354","2010-01-13","2010-01-13","0"
"CAMEL-1330","2009-02-10","2009-02-11","1"
"CAMEL-6684","2013-08-30","2013-08-30","0"
"CAMEL-8081","2014-11-27","2014-12-03","6"
"CAMEL-5769","2012-11-03","2012-11-04","1"
"CAMEL-7359","2014-04-11","2014-04-11","0"
"CAMEL-7125","2014-01-10","2014-02-07","28"
"CAMEL-5746","2012-10-26","2012-10-26","0"
"CAMEL-4018","2011-05-26","2011-05-27","1"
"CAMEL-6726","2013-09-10","2013-09-12","2"
"CAMEL-7855","2014-09-23","2014-09-27","4"
"CAMEL-7541","2014-06-26","2014-06-26","0"
"CAMEL-2450","2010-02-04","2010-02-04","0"
"CAMEL-3799","2011-03-23","2011-04-20","28"
"CAMEL-581","2008-06-05","2008-06-06","1"
"CAMEL-1217","2009-01-03","2009-01-04","1"
"CAMEL-368","2008-03-06","2008-03-07","1"
"CAMEL-1696","2009-06-11","2009-06-11","0"
"CAMEL-187","2007-10-19","2007-10-19","0"
"CAMEL-8764","2015-05-10","2015-05-10","0"
"CAMEL-2758","2010-05-27","2010-05-27","0"
"CAMEL-4062","2011-06-07","2011-06-16","9"
"CAMEL-2363","2010-01-14","2010-01-15","1"
"CAMEL-3433","2010-12-15","2010-12-15","0"
"CAMEL-1586","2009-05-06","2009-05-06","0"
"CAMEL-3483","2011-01-03","2011-01-04","1"
"CAMEL-3141","2010-09-21","2010-09-21","0"
"CAMEL-4559","2011-10-19","2011-10-19","0"
"CAMEL-7018","2013-11-27","2013-11-27","0"
"CAMEL-6155","2013-03-12","2013-03-13","1"
"CAMEL-3113","2010-09-10","2010-09-10","0"
"CAMEL-1940","2009-08-26","2009-08-31","5"
"CAMEL-3310","2010-11-04","2010-11-09","5"
