"issue_key","created","resolutiondate","days_to_solve"
"SOLR-5586","2013-12-29","2013-12-30","1"
"LUCENE-2966","2011-03-12","2011-05-05","54"
"LUCENE-5152","2013-07-30","2013-09-12","44"
"SOLR-3339","2012-04-07","2012-04-12","5"
"LUCENE-4797","2013-02-25","2015-02-09","714"
"LUCENE-4103","2012-06-03","2012-06-05","2"
"SOLR-2606","2011-06-18","2011-07-31","43"
"SOLR-3518","2012-06-07","2012-09-07","92"
"SOLR-3668","2012-07-24","2012-09-06","44"
"SOLR-3361","2012-04-16","2012-04-23","7"
"LUCENE-5934","2014-09-10","2014-09-10","0"
"SOLR-4797","2013-05-07","2013-05-08","1"
"SOLR-3063","2012-01-27","2012-01-29","2"
"SOLR-4923","2013-06-13","2013-06-17","4"
"SOLR-2832","2011-10-14","2013-11-30","778"
"SOLR-4095","2012-11-20","2012-11-20","0"
"SOLR-597","2008-06-12","2008-06-12","0"
"SOLR-4867","2013-05-28","2013-05-28","0"
"LUCENE-5900","2014-08-22","2015-01-12","143"
"LUCENE-5099","2013-07-09","2014-01-22","197"
"LUCENE-4289","2012-08-06","2012-08-06","0"
"SOLR-3869","2012-09-23","2012-09-23","0"
"SOLR-3743","2012-08-19","2012-08-20","1"
"SOLR-4910","2013-06-07","2013-06-17","10"
"SOLR-5897","2014-03-21","2014-04-21","31"
"LUCENE-1008","2007-09-29","2007-09-29","0"
"SOLR-1440","2009-09-17","2009-09-17","0"
"LUCENE-6455","2015-04-28","2015-04-28","0"
"LUCENE-3087","2011-05-11","2011-05-12","1"
"LUCENE-4234","2012-07-18","2012-07-23","5"
"SOLR-340","2007-08-20","2007-08-20","0"
"LUCENE-450","2005-10-11","2005-12-21","71"
"SOLR-4664","2013-04-02","2013-04-03","1"
"SOLR-6323","2014-08-05","2014-09-26","52"
"SOLR-3852","2012-09-19","2013-09-03","349"
"LUCENE-2720","2010-10-23","2011-01-23","92"
"SOLR-807","2008-10-14","2008-12-14","61"
"SOLR-7478","2015-04-27","2015-04-28","1"
"LUCENE-6026","2014-10-27","2014-10-27","0"
"LUCENE-4037","2012-05-07","2012-05-07","0"
"LUCENE-374","2005-04-16","2006-02-14","304"
"SOLR-443","2007-12-21","2008-07-02","194"
"SOLR-4112","2012-11-26","2013-01-11","46"
"SOLR-6","2006-04-06","2006-07-11","96"
"SOLR-1651","2009-12-12","2009-12-14","2"
"LUCENE-2888","2011-01-25","2011-01-25","0"
"LUCENE-846","2007-03-23","2007-03-25","2"
"SOLR-1563","2009-11-14","2009-11-22","8"
"LUCENE-929","2007-06-08","2011-05-25","1447"
"SOLR-5345","2013-10-13","2014-01-24","103"
"LUCENE-6490","2015-05-19","2015-05-20","1"
"SOLR-7366","2015-04-08","2015-04-09","1"
"LUCENE-1764","2009-07-28","2009-08-02","5"
"SOLR-6956","2015-01-10","2015-03-05","54"
"SOLR-6779","2014-11-22","2014-12-30","38"
"SOLR-7224","2015-03-10","2015-04-23","44"
"LUCENE-6380","2015-03-31","2015-03-31","0"
"LUCENE-383","2005-04-29","2006-05-10","376"
"LUCENE-2533","2010-07-12","2010-10-29","109"
"SOLR-4413","2013-02-07","2013-02-22","15"
"LUCENE-2737","2010-11-03","2010-11-04","1"
"SOLR-6072","2014-05-14","2014-06-27","44"
"LUCENE-3027","2011-04-14","2011-04-14","0"
"SOLR-648","2008-07-23","2008-07-25","2"
"SOLR-270","2007-06-21","2010-02-17","972"
"SOLR-5652","2014-01-21","2014-02-15","25"
"LUCENE-2813","2010-12-13","2010-12-13","0"
