"issue_key","created","resolutiondate","days_to_solve"
"ZOOKEEPER-1412","2012-03-12","2012-03-15","3"
"ZOOKEEPER-249","2008-12-08","2008-12-09","1"
"ZOOKEEPER-2073","2014-11-04","2015-02-22","110"
"ZOOKEEPER-1923","2014-05-05","2014-05-08","3"
"ZOOKEEPER-50","2008-06-20","2010-01-15","574"
"ZOOKEEPER-505","2009-08-08","2010-01-26","171"
"ZOOKEEPER-226","2008-11-18","2008-11-18","0"
"ZOOKEEPER-623","2009-12-14","2010-01-12","29"
"ZOOKEEPER-880","2010-09-27","2011-03-16","170"
"ZOOKEEPER-688","2010-03-05","2010-03-05","0"
"ZOOKEEPER-668","2010-02-12","2010-02-19","7"
"ZOOKEEPER-1136","2011-07-26","2011-09-14","50"
"ZOOKEEPER-1119","2011-07-07","2011-07-25","18"
"ZOOKEEPER-1299","2011-11-16","2011-11-16","0"
"ZOOKEEPER-1028","2011-03-24","2011-04-06","13"
"ZOOKEEPER-1027","2011-03-24","2011-07-25","123"
"ZOOKEEPER-1670","2013-03-15","2013-10-01","200"
"ZOOKEEPER-591","2009-11-23","2010-03-18","115"
"ZOOKEEPER-20","2008-06-10","2008-08-27","78"
"ZOOKEEPER-335","2009-03-04","2011-06-14","832"
"ZOOKEEPER-600","2009-11-30","2009-12-17","17"
"ZOOKEEPER-475","2009-07-16","2009-08-04","19"
"ZOOKEEPER-1633","2013-01-30","2013-04-02","62"
"ZOOKEEPER-1069","2011-05-23","2011-07-17","55"
"ZOOKEEPER-483","2009-07-23","2009-08-25","33"
"ZOOKEEPER-330","2009-02-25","2009-02-27","2"
"ZOOKEEPER-742","2010-04-15","2010-04-22","7"
"ZOOKEEPER-753","2010-04-26","2012-12-12","961"
"ZOOKEEPER-783","2010-06-01","2010-07-26","55"
"ZOOKEEPER-606","2009-12-02","2009-12-17","15"
"ZOOKEEPER-365","2009-04-03","2009-04-29","26"
"ZOOKEEPER-4","2008-06-09","2008-09-09","92"
"ZOOKEEPER-1174","2011-09-08","2011-09-30","22"
"ZOOKEEPER-1870","2014-01-28","2014-08-28","212"
"ZOOKEEPER-746","2010-04-21","2010-04-26","5"
"ZOOKEEPER-1864","2014-01-20","2014-05-17","117"
"ZOOKEEPER-2064","2014-10-21","2014-11-29","39"
"ZOOKEEPER-469","2009-07-14","2009-07-16","2"
"ZOOKEEPER-1059","2011-05-04","2011-05-16","12"
"ZOOKEEPER-1315","2011-12-04","2011-12-09","5"
"ZOOKEEPER-2173","2015-04-21","2015-04-28","7"
"ZOOKEEPER-627","2009-12-16","2009-12-16","0"
"ZOOKEEPER-1357","2012-01-09","2014-04-14","826"
"ZOOKEEPER-764","2010-05-04","2010-05-05","1"
"ZOOKEEPER-1236","2011-10-20","2012-06-30","254"
"ZOOKEEPER-453","2009-06-30","2009-06-30","0"
"ZOOKEEPER-1551","2012-10-01","2013-10-08","372"
"ZOOKEEPER-763","2010-05-04","2010-05-05","1"
"ZOOKEEPER-785","2010-06-02","2010-09-14","104"
"ZOOKEEPER-1309","2011-11-29","2012-02-27","90"
"ZOOKEEPER-854","2010-08-19","2010-08-28","9"
"ZOOKEEPER-247","2008-12-05","2008-12-10","5"
"ZOOKEEPER-592","2009-11-24","2010-02-02","70"
"ZOOKEEPER-1613","2012-12-30","2013-01-25","26"
"ZOOKEEPER-1203","2011-09-23","2011-09-29","6"
"ZOOKEEPER-1664","2013-03-13","2013-09-11","182"
"ZOOKEEPER-1156","2011-08-18","2011-09-05","18"
"ZOOKEEPER-630","2009-12-16","2009-12-16","0"
"ZOOKEEPER-140","2008-09-13","2008-10-01","18"
"ZOOKEEPER-6","2008-06-10","2008-09-30","112"
"ZOOKEEPER-653","2010-01-22","2011-09-06","592"
"ZOOKEEPER-2006","2014-08-07","2014-08-19","12"
"ZOOKEEPER-822","2010-07-19","2010-10-06","79"
"ZOOKEEPER-1812","2013-11-10","2013-11-12","2"
"ZOOKEEPER-1811","2013-11-07","2014-02-10","95"
"ZOOKEEPER-1843","2013-12-16","2014-04-26","131"
"ZOOKEEPER-587","2009-11-21","2009-12-11","20"
"ZOOKEEPER-1431","2012-03-23","2012-06-19","88"
"ZOOKEEPER-136","2008-09-05","2008-10-03","28"
"ZOOKEEPER-790","2010-06-22","2010-07-29","37"
"ZOOKEEPER-2052","2014-10-02","2014-10-28","26"
"ZOOKEEPER-1576","2012-11-07","2014-06-28","598"
"ZOOKEEPER-213","2008-10-29","2008-11-17","19"
"ZOOKEEPER-377","2009-04-17","2009-04-20","3"
"ZOOKEEPER-1752","2013-09-01","2014-09-13","377"
"ZOOKEEPER-684","2010-03-03","2010-03-10","7"
"ZOOKEEPER-319","2009-02-17","2009-02-27","10"
"ZOOKEEPER-1646","2013-02-12","2013-10-17","247"
"ZOOKEEPER-1440","2012-04-01","2014-03-12","710"
"ZOOKEEPER-1966","2014-07-15","2014-07-16","1"
"ZOOKEEPER-1354","2012-01-07","2012-03-02","55"
"ZOOKEEPER-1124","2011-07-13","2011-07-15","2"
"ZOOKEEPER-1265","2011-10-28","2011-10-28","0"
"ZOOKEEPER-1744","2013-08-22","2013-10-24","63"
"ZOOKEEPER-1334","2011-12-20","2012-12-19","365"
"ZOOKEEPER-341","2009-03-18","2009-03-18","0"
"ZOOKEEPER-994","2011-02-17","2011-02-27","10"
"ZOOKEEPER-698","2010-03-12","2010-03-13","1"
"ZOOKEEPER-574","2009-11-11","2010-01-23","73"
"ZOOKEEPER-1581","2012-11-08","2012-12-12","34"
"ZOOKEEPER-670","2010-02-12","2014-04-25","1533"
"ZOOKEEPER-255","2008-12-12","2008-12-22","10"
"ZOOKEEPER-1317","2011-12-04","2011-12-09","5"
"ZOOKEEPER-2193","2015-05-20","2015-06-27","38"
"ZOOKEEPER-1373","2012-01-24","2012-02-06","13"
"ZOOKEEPER-1171","2011-09-02","2011-09-13","11"
"ZOOKEEPER-610","2009-12-04","2009-12-11","7"
"ZOOKEEPER-741","2010-04-14","2010-04-22","8"
"ZOOKEEPER-846","2010-08-12","2010-09-22","41"
"ZOOKEEPER-11","2008-06-10","2008-07-23","43"
"ZOOKEEPER-573","2009-11-10","2010-01-20","71"
"ZOOKEEPER-1144","2011-08-03","2011-08-11","8"
"ZOOKEEPER-1318","2011-12-04","2012-05-10","158"
"ZOOKEEPER-54","2008-06-25","2008-08-25","61"
"ZOOKEEPER-1939","2014-06-12","2014-06-25","13"
"ZOOKEEPER-983","2011-02-03","2011-02-27","24"
"ZOOKEEPER-877","2010-09-22","2013-10-08","1112"
"ZOOKEEPER-1273","2011-10-30","2011-10-31","1"
"ZOOKEEPER-421","2009-05-28","2009-06-01","4"
"ZOOKEEPER-1751","2013-08-31","2013-09-18","18"
"ZOOKEEPER-534","2009-09-23","2009-12-16","84"
"ZOOKEEPER-1538","2012-08-22","2012-09-07","16"
"ZOOKEEPER-1784","2013-10-08","2015-01-25","474"
"ZOOKEEPER-1489","2012-06-18","2012-07-17","29"
"ZOOKEEPER-2056","2014-10-08","2015-04-07","181"
"ZOOKEEPER-219","2008-11-11","2008-11-18","7"
"ZOOKEEPER-187","2008-10-14","2008-10-15","1"
"ZOOKEEPER-201","2008-10-21","2008-10-21","0"
"ZOOKEEPER-189","2008-10-14","2008-10-14","0"
"ZOOKEEPER-1268","2011-10-28","2011-11-01","4"
"ZOOKEEPER-48","2008-06-20","2008-07-31","41"
"ZOOKEEPER-2171","2015-04-21","2015-05-09","18"
"ZOOKEEPER-709","2010-03-18","2010-03-18","0"
"ZOOKEEPER-151","2008-10-01","2008-10-16","15"
"ZOOKEEPER-734","2010-04-06","2010-04-26","20"
"ZOOKEEPER-1264","2011-10-28","2011-11-05","8"
"ZOOKEEPER-1050","2011-04-21","2012-01-06","260"
"ZOOKEEPER-710","2010-03-18","2010-03-19","1"
"ZOOKEEPER-1706","2013-05-13","2013-05-13","0"
"ZOOKEEPER-1097","2011-06-16","2011-06-26","10"
"ZOOKEEPER-693","2010-03-09","2010-03-10","1"
"ZOOKEEPER-1673","2013-03-19","2014-04-25","402"
"ZOOKEEPER-772","2010-05-10","2010-08-11","93"
"ZOOKEEPER-1713","2013-06-06","2013-09-02","88"
"ZOOKEEPER-1033","2011-03-27","2011-05-04","38"
"ZOOKEEPER-251","2008-12-08","2008-12-10","2"
"ZOOKEEPER-1821","2013-11-23","2013-11-27","4"
"ZOOKEEPER-738","2010-04-10","2010-04-26","16"
"ZOOKEEPER-320","2009-02-17","2009-02-27","10"
"ZOOKEEPER-1753","2013-09-05","2013-09-18","13"
"ZOOKEEPER-438","2009-06-08","2009-06-25","17"
"ZOOKEEPER-1220","2011-10-12","2011-12-14","63"
"ZOOKEEPER-1333","2011-12-20","2011-12-21","1"
"ZOOKEEPER-376","2009-04-15","2009-05-07","22"
"ZOOKEEPER-411","2009-05-19","2009-05-20","1"
"ZOOKEEPER-150","2008-10-01","2008-10-01","0"
