"issue_key","created","resolutiondate","days_to_solve"
"MAHOUT-1488","2014-03-26","2014-03-26","0"
"MAHOUT-515","2010-09-30","2010-10-03","3"
"MAHOUT-491","2010-08-29","2010-08-29","0"
"MAHOUT-756","2011-07-10","2011-07-12","2"
"MAHOUT-1293","2013-07-26","2013-11-21","118"
"MAHOUT-946","2012-01-15","2012-02-08","24"
"MAHOUT-1390","2014-01-02","2014-01-03","1"
"MAHOUT-820","2011-09-27","2011-09-27","0"
"MAHOUT-1335","2013-09-17","2013-09-17","0"
"MAHOUT-1320","2013-08-29","2013-09-17","19"
"MAHOUT-1586","2014-06-19","2015-04-02","287"
"MAHOUT-566","2010-12-17","2011-01-21","35"
"MAHOUT-1308","2013-08-09","2013-11-22","105"
"MAHOUT-528","2010-10-17","2010-10-17","0"
"MAHOUT-956","2012-01-24","2012-01-27","3"
"MAHOUT-183","2009-10-01","2009-10-05","4"
"MAHOUT-893","2011-11-23","2011-11-23","0"
"MAHOUT-1602","2014-08-04","2015-03-31","239"
"MAHOUT-392","2010-05-08","2010-05-26","18"
"MAHOUT-114","2009-04-07","2009-10-19","195"
"MAHOUT-1292","2013-07-25","2013-11-16","114"
"MAHOUT-1269","2013-06-25","2013-06-25","0"
"MAHOUT-581","2011-01-10","2011-01-10","0"
"MAHOUT-454","2010-07-30","2010-07-31","1"
"MAHOUT-67","2008-07-08","2009-12-06","516"
"MAHOUT-679","2011-04-22","2011-04-22","0"
"MAHOUT-1145","2013-01-31","2013-02-01","1"
"MAHOUT-1030","2012-06-09","2013-12-08","547"
"MAHOUT-1268","2013-06-25","2013-06-25","0"
"MAHOUT-561","2010-12-11","2011-01-16","36"
"MAHOUT-1537","2014-05-01","2014-05-02","1"
"MAHOUT-1337","2013-09-17","2013-09-17","0"
"MAHOUT-1047","2012-07-20","2013-06-01","316"
"MAHOUT-1232","2013-05-29","2013-05-29","0"
"MAHOUT-786","2011-08-14","2011-08-17","3"
"MAHOUT-1148","2013-02-04","2013-02-05","1"
"MAHOUT-324","2010-03-09","2010-03-09","0"
"MAHOUT-591","2011-01-24","2011-02-03","10"
"MAHOUT-1139","2013-01-11","2013-06-01","141"
"MAHOUT-436","2010-07-10","2010-07-11","1"
"MAHOUT-405","2010-05-30","2010-06-02","3"
"MAHOUT-967","2012-01-31","2012-02-07","7"
"MAHOUT-717","2011-06-01","2011-06-05","4"
"MAHOUT-1458","2014-03-13","2014-03-13","0"
"MAHOUT-211","2009-12-01","2010-01-21","51"
"MAHOUT-1383","2013-12-19","2013-12-20","1"
"MAHOUT-1091","2012-10-08","2012-10-11","3"
"MAHOUT-602","2011-01-31","2011-02-04","4"
"MAHOUT-694","2011-05-12","2011-05-23","11"
"MAHOUT-647","2011-03-31","2011-03-31","0"
"MAHOUT-1046","2012-07-14","2012-07-14","0"
"MAHOUT-96","2008-11-11","2008-11-12","1"
"MAHOUT-1237","2013-06-02","2013-06-02","0"
"MAHOUT-646","2011-03-31","2011-04-03","3"
"MAHOUT-1062","2012-08-28","2013-01-18","143"
"MAHOUT-564","2010-12-12","2011-01-10","29"
"MAHOUT-464","2010-08-11","2010-10-14","64"
"MAHOUT-1229","2013-05-27","2013-05-27","0"
"MAHOUT-1326","2013-09-04","2014-01-23","141"
"MAHOUT-1660","2015-03-28","2015-06-17","81"
"MAHOUT-80","2008-10-10","2008-10-11","1"
"MAHOUT-1073","2012-09-21","2012-10-08","17"
"MAHOUT-1622","2014-10-16","2015-04-05","171"
"MAHOUT-738","2011-06-21","2011-06-22","1"
"MAHOUT-486","2010-08-23","2010-08-23","0"
"MAHOUT-439","2010-07-11","2010-07-11","0"
"MAHOUT-912","2011-12-03","2011-12-04","1"
"MAHOUT-144","2009-07-11","2009-12-06","148"
"MAHOUT-1191","2013-04-15","2013-04-18","3"
"MAHOUT-1083","2012-09-27","2012-09-28","1"
"MAHOUT-565","2010-12-16","2010-12-16","0"
"MAHOUT-1561","2014-05-24","2014-05-24","0"
"MAHOUT-1696","2015-04-24","2015-04-24","0"
"MAHOUT-546","2010-11-16","2011-06-26","222"
"MAHOUT-1068","2012-09-17","2012-09-17","0"
"MAHOUT-1031","2012-06-09","2013-03-11","275"
"MAHOUT-159","2009-08-04","2009-09-01","28"
